id_proveedor,razon_social,tipo_documento,numero_documento,telefono,estado
1,Precotex S.A.C.,RUC,20306781252,4474728,A
2,Confeccion y Comercialización de ropa Centurión S.A.C.,RUC,20553352577,2877467,A
3,Industrial Zayma S.A.C.,RUC,20112565036,2875662,A
4,Creaciones Pierina S.A.C,RUC,20101028551,4474758,A
5,Q'Eros Graff S.A.C.,RUC,20475477252,2750840,A
6,Grupo Industrial S.A.C.,RUC,20500732971,4266445,A
7,Creaciones Haypa S.R.L.,RUC,20342438084,4279489,A
8,Alessandro Boschieri S.A.C.,RUC,20145251495,3300600,A
9,Importadora y Exportadora YOU TOO S.A.,RUC,20295798140,2517976,A
10,Manufacturas Kukuli S.A.C.,RUC,20507590323,4270211,A
11,Industria Textil del Pacífico S.A.,RUC,20112316249,4254162,A
12,Confecciones Ritzy S.A.,RUC,20101042384,7150380,A
