id_venta,fecha,tipo_pago,monto_total,id_cliente,id_usuario,id_promotor
301,2019-08-6 20:10,Efectivo,"248.00",43,3,5
302,2019-08-27 9:57,Efectivo,"388.00",36,3,1
303,2019-08-18 17:2,Tarjeta,"523.50",4,4,2
304,2019-08-4 16:16,Efectivo,"109.00",83,8,7
305,2019-08-3 20:28,Efectivo,"99.00",28,1,1
306,2019-08-26 16:35,Efectivo,"107.50",64,9,6
307,2019-08-8 13:5,Tarjeta,"158.50",24,4,9
308,2019-08-29 12:13,Tarjeta,"264.00",36,7,9
309,2019-08-4 13:14,Efectivo,"445.00",96,3,9
310,2019-08-24 13:14,Tarjeta,"205.00",1,2,1
311,2019-08-12 18:31,Efectivo,"198.00",21,3,9
312,2019-08-9 20:22,Tarjeta,"132.00",67,9,10
313,2019-08-10 10:48,Efectivo,"593.00",92,2,7
314,2019-08-28 18:31,Efectivo,"105.50",83,2,1
315,2019-08-13 17:18,Efectivo,"290.00",2,4,1
316,2019-08-8 18:12,Efectivo,"110.50",76,5,1
317,2019-08-27 13:29,Efectivo,"298.00",47,7,8
318,2019-08-23 9:47,Efectivo,"298.00",65,10,10
319,2019-08-30 21:50,Tarjeta,"353.00",13,7,6
320,2019-08-28 16:7,Efectivo,"431.50",65,1,1
321,2019-08-22 20:36,Tarjeta,"65.00",33,9,1
322,2019-08-6 13:55,Efectivo,"169.00",81,5,8
323,2019-08-16 21:4,Tarjeta,"676.00",1,10,7
324,2019-08-21 10:28,Efectivo,"149.00",73,8,10
325,2019-08-29 12:18,Tarjeta,"66.00",81,9,10
326,2019-08-8 19:9,Tarjeta,"441.50",59,4,4
327,2019-08-30 18:31,Tarjeta,"372.50",76,9,1
328,2019-08-23 19:27,Efectivo,"234.50",93,7,3
329,2019-08-4 9:13,Efectivo,"268.00",87,9,8
330,2019-08-7 20:57,Tarjeta,"25.50",43,2,9
331,2019-08-20 21:42,Efectivo,"334.50",86,3,5
332,2019-08-10 21:57,Tarjeta,"267.50",30,4,2
333,2019-08-23 21:57,Efectivo,"141.00",96,10,7
334,2019-08-25 21:56,Efectivo,"120.50",68,5,5
335,2019-08-28 19:45,Efectivo,"671.50",16,3,8
336,2019-08-18 13:10,Efectivo,"673.00",50,10,10
337,2019-08-20 12:12,Efectivo,"153.00",74,6,1
338,2019-08-7 11:33,Efectivo,"881.50",49,8,1
339,2019-08-4 12:24,Efectivo,"77.50",97,8,7
340,2019-08-10 10:32,Efectivo,"80.50",48,5,1
341,2019-08-25 14:3,Tarjeta,"207.00",6,5,1
342,2019-08-16 13:35,Efectivo,"189.50",8,4,2
343,2019-08-10 21:19,Efectivo,"78.00",30,3,1
344,2019-08-11 17:31,Tarjeta,"74.50",58,3,7
345,2019-08-2 17:1,Efectivo,"119.00",100,9,2
346,2019-08-3 9:55,Tarjeta,"387.50",44,1,1
347,2019-08-27 9:54,Tarjeta,"253.00",37,1,5
348,2019-08-5 10:57,Efectivo,"40.50",2,7,1
349,2019-08-5 13:39,Efectivo,"562.00",5,7,10
350,2019-08-6 13:8,Efectivo,"160.00",47,1,1
351,2019-08-23 15:6,Efectivo,"380.00",44,10,1
352,2019-08-16 17:5,Tarjeta,"836.00",75,9,10
353,2019-08-30 19:49,Efectivo,"55.50",23,4,7
354,2019-08-12 18:59,Tarjeta,"217.50",10,4,1
355,2019-08-11 10:4,Efectivo,"104.00",14,3,1
356,2019-08-3 11:15,Efectivo,"33.00",35,10,3
357,2019-08-29 20:53,Efectivo,"35.50",21,2,5
358,2019-08-2 10:17,Efectivo,"291.50",39,9,7
359,2019-08-15 14:17,Efectivo,"178.50",65,7,6
360,2019-08-30 19:46,Efectivo,"104.00",50,1,10
361,2019-08-8 12:8,Efectivo,"60.00",2,8,1
362,2019-08-19 13:10,Efectivo,"232.00",82,5,6
363,2019-08-7 9:33,Efectivo,"215.00",11,10,1
364,2019-08-19 17:8,Efectivo,"135.00",97,1,1
365,2019-08-25 12:15,Tarjeta,"97.00",54,1,1
366,2019-08-8 16:57,Efectivo,"89.50",70,9,1
367,2019-08-27 10:9,Efectivo,"229.00",10,6,3
368,2019-08-18 19:49,Efectivo,"192.50",11,3,10
369,2019-08-8 9:46,Tarjeta,"486.00",62,1,1
370,2019-08-1 19:18,Tarjeta,"312.00",74,9,6
371,2019-08-11 20:23,Efectivo,"28.00",72,7,1
372,2019-08-29 17:49,Efectivo,"48.00",14,8,10
373,2019-08-5 19:6,Tarjeta,"193.00",94,5,1
374,2019-08-12 19:27,Efectivo,"291.50",94,4,4
375,2019-08-14 13:37,Efectivo,"104.00",69,8,1
376,2019-08-22 19:15,Efectivo,"292.00",96,5,4
377,2019-08-31 13:38,Tarjeta,"24.50",89,2,1
378,2019-08-19 17:4,Efectivo,"198.00",60,7,2
379,2019-08-19 15:4,Efectivo,"641.50",58,3,3
380,2019-08-27 20:35,Efectivo,"55.00",15,3,1
381,2019-08-3 17:56,Efectivo,"72.00",75,8,1
382,2019-08-23 10:28,Efectivo,"193.00",9,6,1
383,2019-08-8 17:12,Tarjeta,"41.00",8,1,10
384,2019-08-27 19:59,Tarjeta,"55.00",70,8,1
385,2019-08-13 16:8,Efectivo,"80.00",95,3,1
386,2019-08-16 10:51,Efectivo,"186.00",3,7,5
387,2019-08-9 15:32,Efectivo,"94.00",3,5,1
388,2019-08-1 21:35,Tarjeta,"174.50",9,2,8
389,2019-08-29 21:29,Efectivo,"93.50",71,4,1
390,2019-08-14 13:28,Efectivo,"808.50",5,9,1
391,2019-08-4 11:56,Efectivo,"436.50",3,2,7
392,2019-08-18 16:9,Efectivo,"53.00",16,1,3
393,2019-08-14 18:17,Efectivo,"725.50",67,1,5
394,2019-08-24 12:4,Efectivo,"210.00",53,5,4
395,2019-08-22 19:20,Efectivo,"22.00",69,5,4
396,2019-08-12 12:3,Efectivo,"79.00",6,6,1
397,2019-08-6 11:40,Tarjeta,"13.00",100,8,1
398,2019-08-8 9:54,Efectivo,"36.00",90,1,1
399,2019-08-20 13:26,Efectivo,"195.00",79,1,7
400,2019-08-4 19:17,Efectivo,"189.00",59,9,9
